time,fps,food,herbivores,predators,ratio,pMeanSize,pMeanSpeed,pMeanAgility,pMeanPerception,hMeanSize,hMeanSpeed,hMeanAgility,hMeanPerception
520.89,30.012,761,796,129,6.171,1.51,3.169,1.48,99.756,1.289,4.29,1.551,97.269
521.9,29.994,751,797,132,6.038,1.507,3.183,1.482,99.806,1.29,4.288,1.551,97.261
522.91,29.994,755,795,129,6.163,1.51,3.188,1.485,100.544,1.29,4.288,1.552,97.419
523.91,60.024,785,794,130,6.108,1.51,3.204,1.486,100.346,1.286,4.281,1.551,97.337
524.93,60.024,781,787,128,6.148,1.513,3.211,1.491,101.187,1.285,4.278,1.551,97.112
525.94,29.994,765,789,127,6.213,1.512,3.208,1.491,101.175,1.285,4.28,1.551,97.11
526.95,30.012,761,799,129,6.194,1.511,3.212,1.491,101.288,1.282,4.28,1.551,97.115
527.96,60.024,782,806,128,6.297,1.511,3.202,1.489,100.659,1.281,4.283,1.551,97.069
528.97,29.994,786,806,128,6.297,1.511,3.194,1.487,99.936,1.282,4.279,1.551,96.944
529.98,60.024,805,815,129,6.318,1.514,3.204,1.489,100.823,1.283,4.28,1.551,96.98
531,59.952,801,818,128,6.391,1.513,3.203,1.488,100.619,1.283,4.283,1.551,96.956
532.01,60.024,803,807,127,6.354,1.511,3.199,1.486,99.885,1.287,4.286,1.552,97.229
533.02,29.994,804,813,129,6.302,1.51,3.194,1.484,99.672,1.286,4.285,1.552,97.101
534.02,29.994,783,811,131,6.191,1.512,3.2,1.488,100.817,1.287,4.29,1.553,97.217
535.04,59.952,772,803,130,6.177,1.513,3.203,1.489,101.553,1.29,4.292,1.553,97.178
536.05,60.024,760,799,126,6.341,1.513,3.205,1.49,101.898,1.292,4.293,1.553,97.372
537.06,60.024,745,792,120,6.6,1.517,3.218,1.497,103.437,1.293,4.294,1.552,97.319
538.06,60.024,761,782,123,6.358,1.517,3.217,1.499,103.825,1.292,4.294,1.552,97.488
539.07,60.024,757,789,123,6.415,1.518,3.236,1.505,105.118,1.294,4.294,1.554,97.692
540.08,60.024,788,795,122,6.516,1.516,3.232,1.507,105.044,1.295,4.296,1.555,97.836
541.1,60.024,779,789,120,6.575,1.515,3.233,1.507,104.987,1.296,4.297,1.555,97.891
542.1,60.024,742,796,123,6.472,1.512,3.251,1.508,105.11,1.295,4.299,1.555,97.703
543.11,60.024,737,792,121,6.545,1.513,3.247,1.507,105.055,1.296,4.299,1.554,97.59
544.12,60.024,729,797,123,6.48,1.511,3.251,1.508,105.11,1.297,4.302,1.553,97.806
545.13,60.024,739,800,121,6.612,1.511,3.263,1.51,105.804,1.297,4.299,1.553,97.857
546.13,60.024,753,809,120,6.742,1.513,3.279,1.51,106.157,1.298,4.3,1.553,97.75
547.14,60.024,772,808,121,6.678,1.514,3.282,1.509,106.223,1.299,4.3,1.552,97.795
548.15,60.024,760,798,116,6.879,1.515,3.275,1.512,105.705,1.3,4.304,1.553,97.943
549.16,60.024,787,793,114,6.956,1.517,3.282,1.513,106.16,1.301,4.305,1.553,98.015
550.16,60.024,762,789,111,7.108,1.518,3.264,1.512,105.53,1.3,4.304,1.552,98.088
551.18,60.024,739,790,111,7.117,1.517,3.271,1.511,105.622,1.298,4.307,1.553,98.157
552.18,60.024,739,794,111,7.153,1.518,3.27,1.51,104.708,1.298,4.306,1.553,98.164
553.2,59.952,719,795,108,7.361,1.521,3.28,1.509,105.293,1.297,4.31,1.553,98.283
554.2,60.024,733,787,109,7.22,1.522,3.283,1.509,105.491,1.299,4.313,1.552,98.052
555.21,59.952,713,791,109,7.257,1.521,3.283,1.509,105.491,1.297,4.314,1.552,98.136
556.21,59.952,698,793,109,7.275,1.523,3.285,1.508,106.376,1.298,4.313,1.551,98.031
557.23,59.952,669,771,113,6.823,1.52,3.278,1.507,105.996,1.3,4.313,1.551,98.149
558.23,59.952,684,771,113,6.823,1.521,3.279,1.507,105.884,1.301,4.314,1.552,98.467
559.24,59.952,693,763,114,6.693,1.522,3.276,1.507,106.068,1.302,4.314,1.551,98.554
560.24,59.952,698,765,114,6.711,1.523,3.28,1.508,106.189,1.305,4.317,1.551,98.643
561.26,59.952,695,763,116,6.578,1.523,3.275,1.506,106.151,1.306,4.319,1.551,98.593
562.26,59.952,712,761,117,6.504,1.522,3.269,1.507,106.436,1.306,4.321,1.551,98.631
563.28,60.024,719,758,118,6.424,1.523,3.263,1.508,106.6,1.305,4.32,1.551,98.478
564.28,60.024,731,751,118,6.364,1.524,3.26,1.508,106.804,1.306,4.316,1.55,98.504
565.28,59.952,714,753,119,6.328,1.524,3.275,1.51,107.132,1.306,4.318,1.551,98.503
566.28,59.952,720,751,122,6.156,1.521,3.275,1.507,106.154,1.306,4.318,1.552,98.311
567.29,59.952,729,754,126,5.984,1.521,3.282,1.508,106.418,1.306,4.321,1.551,98.264
568.31,60.024,719,754,124,6.081,1.52,3.293,1.51,106.805,1.304,4.322,1.552,98.331
569.33,60.024,736,757,128,5.914,1.519,3.297,1.514,107.511,1.305,4.32,1.553,98.247
570.33,60.024,701,762,126,6.048,1.521,3.308,1.514,108.014,1.305,4.318,1.552,97.993
571.34,60.024,700,772,127,6.079,1.521,3.314,1.511,107.772,1.302,4.318,1.553,97.566
572.36,60.024,717,768,129,5.953,1.522,3.314,1.511,107.889,1.299,4.318,1.552,97.532
573.38,60.024,722,770,127,6.063,1.523,3.317,1.512,107.491,1.3,4.318,1.552,97.633
574.38,60.024,730,771,126,6.119,1.524,3.313,1.513,107.438,1.3,4.32,1.552,97.708
575.4,59.952,742,772,124,6.226,1.521,3.291,1.51,106.808,1.301,4.324,1.552,97.853
576.41,60.024,747,773,119,6.496,1.52,3.288,1.507,106.347,1.299,4.327,1.552,98.045
577.41,59.952,775,779,117,6.658,1.52,3.284,1.507,105.996,1.301,4.328,1.553,98.084
578.42,29.994,778,771,114,6.763,1.52,3.296,1.51,106.802,1.3,4.329,1.553,98.015
579.43,59.952,789,764,112,6.821,1.519,3.305,1.512,107.225,1.301,4.329,1.554,98.03
580.45,60.024,797,770,113,6.814,1.517,3.305,1.513,106.386,1.302,4.332,1.554,98.018
581.45,29.994,781,772,113,6.832,1.517,3.305,1.513,106.386,1.302,4.335,1.554,98.081
582.45,29.994,771,791,114,6.939,1.518,3.302,1.514,106.555,1.3,4.332,1.554,98.187
583.47,29.994,752,786,110,7.145,1.518,3.301,1.513,106.244,1.3,4.337,1.554,98.072
584.47,60.024,761,793,112,7.08,1.517,3.301,1.514,106.283,1.299,4.337,1.554,97.961
585.48,29.994,751,792,108,7.333,1.514,3.317,1.517,106.054,1.3,4.338,1.555,98.07
586.49,60.024,758,785,107,7.336,1.515,3.351,1.519,107.851,1.301,4.341,1.557,98.21
587.5,60.024,733,780,105,7.429,1.512,3.355,1.519,107.61,1.299,4.341,1.556,98.411
588.51,60.024,728,791,102,7.755,1.516,3.361,1.519,108.229,1.298,4.341,1.556,98.45
589.53,30.012,716,791,103,7.68,1.516,3.361,1.519,108.287,1.297,4.343,1.556,98.503
590.54,30.012,706,795,103,7.718,1.514,3.36,1.52,108.065,1.297,4.342,1.555,98.541
591.54,60.024,685,803,106,7.575,1.512,3.365,1.518,107.551,1.296,4.342,1.556,98.664
592.54,60.024,682,805,105,7.667,1.513,3.362,1.517,107.597,1.296,4.345,1.557,98.681
593.54,60.024,699,801,104,7.702,1.513,3.359,1.515,107.423,1.296,4.345,1.557,98.664
594.54,30.012,710,796,104,7.654,1.512,3.363,1.515,107.29,1.296,4.346,1.556,98.582
595.55,60.024,715,805,108,7.454,1.511,3.357,1.516,106.757,1.297,4.349,1.556,98.817
596.55,60.024,728,802,106,7.566,1.511,3.347,1.511,106.641,1.296,4.349,1.556,98.67
597.57,60.024,730,801,107,7.486,1.512,3.343,1.511,107.067,1.296,4.35,1.556,98.563
598.57,30.012,713,807,107,7.542,1.512,3.354,1.511,107.044,1.297,4.347,1.557,98.609
599.58,60.024,715,820,107,7.664,1.513,3.344,1.511,107.672,1.297,4.347,1.558,98.685
600.59,60.024,704,818,107,7.645,1.515,3.333,1.512,107.692,1.297,4.345,1.557,98.886
601.6,30.012,685,810,110,7.364,1.513,3.332,1.514,107.661,1.298,4.349,1.559,99.046
602.62,60.024,671,812,112,7.25,1.513,3.342,1.513,107.686,1.299,4.349,1.56,98.998
603.63,59.952,676,798,108,7.389,1.514,3.34,1.512,107.764,1.299,4.347,1.561,98.921
604.63,60.024,680,795,106,7.5,1.514,3.341,1.511,107.534,1.3,4.345,1.561,98.8
605.64,59.952,693,790,105,7.524,1.514,3.338,1.51,107.58,1.302,4.346,1.561,98.831
606.65,29.994,669,793,104,7.625,1.515,3.341,1.51,107.395,1.301,4.347,1.562,98.733
607.67,59.952,673,789,101,7.812,1.515,3.353,1.505,106.578,1.3,4.349,1.562,98.78
608.71,29.994,672,793,104,7.625,1.516,3.352,1.508,107.053,1.301,4.349,1.562,98.832
609.73,59.952,666,802,106,7.566,1.515,3.347,1.506,107.103,1.3,4.351,1.562,99.049
610.73,30.012,666,798,106,7.528,1.517,3.348,1.509,107.474,1.299,4.355,1.561,99.169
611.74,59.952,670,800,105,7.619,1.517,3.337,1.512,107.406,1.297,4.353,1.561,99.284
612.74,60.024,662,801,102,7.853,1.518,3.33,1.511,107.207,1.297,4.352,1.561,99.175
613.75,60.024,642,805,103,7.816,1.517,3.33,1.512,107.263,1.299,4.351,1.561,99.164
614.76,59.952,636,821,107,7.673,1.516,3.329,1.508,106.628,1.299,4.349,1.561,99.057
615.76,60.024,684,822,108,7.611,1.517,3.332,1.509,106.933,1.299,4.351,1.562,99.252
616.76,30.012,653,830,106,7.83,1.516,3.332,1.508,106.557,1.299,4.352,1.561,99.12
617.78,59.952,659,837,103,8.126,1.517,3.326,1.507,106.668,1.298,4.351,1.561,99.282
618.79,29.994,657,831,103,8.068,1.52,3.325,1.507,106.879,1.299,4.349,1.561,99.36
619.81,60.024,665,828,102,8.118,1.519,3.322,1.506,106.558,1.299,4.349,1.561,99.485
620.83,60.024,664,821,106,7.745,1.517,3.325,1.508,106.63,1.299,4.349,1.561,99.63
621.83,60.024,636,822,104,7.904,1.514,3.324,1.503,105.53,1.301,4.348,1.562,99.591
622.83,30.012,633,822,107,7.682,1.515,3.33,1.503,105.783,1.301,4.345,1.562,99.568
623.84,60.024,650,823,106,7.764,1.514,3.349,1.512,106.233,1.3,4.348,1.563,99.75
624.85,60.024,633,825,109,7.569,1.516,3.351,1.514,106.883,1.3,4.349,1.564,99.617
625.85,60.024,656,826,110,7.509,1.519,3.347,1.515,107.168,1.297,4.35,1.564,99.414
626.87,60.024,644,825,111,7.432,1.516,3.332,1.51,106.027,1.298,4.354,1.563,99.401
627.87,60.024,679,826,112,7.375,1.518,3.336,1.51,105.998,1.299,4.354,1.563,99.456
628.88,59.952,697,816,115,7.096,1.517,3.341,1.511,106.122,1.302,4.355,1.564,99.552
629.9,60.024,689,820,114,7.193,1.517,3.341,1.511,105.941,1.303,4.354,1.564,99.498
630.91,60.024,690,827,111,7.45,1.515,3.346,1.513,106.098,1.302,4.352,1.564,99.353
631.91,60.024,673,821,112,7.33,1.515,3.35,1.513,106.174,1.302,4.353,1.564,99.473
632.91,59.952,687,822,118,6.966,1.514,3.347,1.509,106.439,1.302,4.353,1.564,99.311
633.91,59.952,675,819,118,6.941,1.514,3.344,1.509,106.439,1.302,4.351,1.564,99.333
634.91,29.994,677,819,121,6.769,1.511,3.34,1.506,105.42,1.302,4.353,1.565,99.21
635.93,59.952,687,821,118,6.958,1.51,3.345,1.506,105.47,1.301,4.35,1.565,99.256
636.94,29.994,682,816,119,6.857,1.509,3.344,1.507,105.426,1.301,4.35,1.565,99.489
637.95,29.994,676,826,120,6.883,1.506,3.34,1.504,104.732,1.299,4.35,1.566,99.31
638.96,60.024,687,827,123,6.724,1.506,3.343,1.506,104.899,1.299,4.349,1.566,99.241
639.98,60.024,681,829,121,6.851,1.507,3.344,1.509,105.29,1.301,4.35,1.565,99.272
640.99,60.024,680,816,122,6.689,1.506,3.325,1.506,104.201,1.303,4.351,1.565,99.5
641.99,60.024,664,806,122,6.607,1.508,3.324,1.506,104.398,1.303,4.35,1.565,99.485
643,60.024,666,806,121,6.661,1.507,3.321,1.505,103.979,1.301,4.351,1.566,99.503
644.01,60.024,679,797,121,6.587,1.506,3.328,1.508,104.149,1.302,4.352,1.565,99.552
645.02,60.024,659,799,121,6.603,1.507,3.34,1.509,104.911,1.3,4.352,1.564,99.218
646.04,59.952,660,805,120,6.708,1.505,3.33,1.507,105.152,1.301,4.352,1.566,99.125
647.06,59.952,677,812,120,6.767,1.504,3.326,1.504,104.374,1.299,4.352,1.565,99.033
648.08,60.024,697,818,117,6.991,1.504,3.32,1.503,104.21,1.3,4.352,1.565,99.119
649.09,60.024,705,822,118,6.966,1.502,3.323,1.504,104.189,1.299,4.351,1.566,99.261
650.11,30.012,702,828,117,7.077,1.503,3.323,1.503,104.387,1.299,4.35,1.565,99.01
651.11,60.024,684,832,117,7.111,1.503,3.327,1.507,104.999,1.299,4.349,1.564,98.91
652.13,60.024,671,842,121,6.959,1.506,3.324,1.508,105.303,1.298,4.35,1.564,98.796
653.14,30.012,659,840,120,7,1.506,3.317,1.509,105.324,1.298,4.351,1.564,98.793
654.15,59.952,651,828,122,6.787,1.505,3.323,1.51,105.574,1.3,4.35,1.563,98.706
655.18,29.994,669,821,124,6.621,1.505,3.326,1.512,105.51,1.3,4.349,1.564,98.463
656.18,29.994,669,820,119,6.891,1.502,3.317,1.511,104.609,1.3,4.349,1.564,98.577
657.19,60.024,699,820,120,6.833,1.499,3.322,1.511,104.393,1.3,4.352,1.563,98.616
658.2,59.952,699,826,120,6.883,1.501,3.322,1.511,104.594,1.299,4.351,1.563,98.719
659.22,60.024,707,830,118,7.034,1.502,3.322,1.509,104.548,1.301,4.352,1.564,98.772
660.23,60.024,723,834,119,7.008,1.505,3.336,1.513,105.759,1.299,4.352,1.563,98.812
661.23,60.024,700,834,120,6.95,1.505,3.332,1.511,105.85,1.301,4.353,1.564,98.873
662.24,60.024,688,826,118,7,1.501,3.335,1.509,105.505,1.304,4.353,1.565,98.788
663.24,60.024,684,821,114,7.202,1.504,3.329,1.509,105.399,1.306,4.354,1.565,98.919
664.25,60.024,682,815,112,7.277,1.501,3.329,1.507,104.914,1.307,4.353,1.566,98.929
665.27,60.024,676,825,114,7.237,1.5,3.331,1.505,104.333,1.307,4.351,1.565,98.935
666.27,29.994,713,826,113,7.31,1.496,3.33,1.501,103.389,1.307,4.352,1.565,98.865
667.28,60.024,720,828,114,7.263,1.495,3.324,1.5,102.873,1.306,4.352,1.565,98.782
668.28,60.024,712,829,112,7.402,1.495,3.318,1.499,102.773,1.307,4.352,1.565,98.673
669.29,60.024,715,822,109,7.541,1.496,3.316,1.5,102.192,1.308,4.351,1.566,98.78
670.31,60.024,712,831,109,7.624,1.496,3.316,1.5,102.192,1.308,4.349,1.567,98.835
671.31,60.024,722,819,106,7.726,1.496,3.309,1.498,101.961,1.306,4.354,1.566,98.816
672.33,60.024,742,815,107,7.617,1.497,3.313,1.497,102.3,1.305,4.359,1.566,98.896
673.33,60.024,727,822,109,7.541,1.499,3.316,1.495,101.84,1.303,4.358,1.566,98.753
674.35,29.994,708,827,110,7.518,1.498,3.319,1.496,101.848,1.305,4.358,1.566,98.767
675.36,59.952,710,829,111,7.468,1.498,3.312,1.496,101.764,1.303,4.36,1.565,98.717
676.38,60.024,715,826,111,7.441,1.495,3.308,1.495,100.627,1.306,4.36,1.565,98.834
677.38,60.024,690,822,114,7.211,1.495,3.306,1.493,100.112,1.305,4.362,1.566,98.789
678.39,29.994,680,815,120,6.792,1.497,3.312,1.498,100.645,1.305,4.359,1.566,98.513
679.41,59.952,665,812,121,6.711,1.497,3.321,1.5,100.388,1.306,4.361,1.566,98.631
680.42,60.024,678,814,117,6.957,1.497,3.35,1.506,101.489,1.303,4.364,1.566,98.587
681.43,60.024,693,818,117,6.991,1.5,3.354,1.507,102.058,1.304,4.363,1.565,98.87
682.43,29.994,698,822,117,7.026,1.501,3.348,1.508,101.98,1.305,4.364,1.565,99.026
683.44,59.952,690,828,117,7.077,1.501,3.348,1.508,101.98,1.304,4.363,1.564,99.143
684.45,59.952,716,829,118,7.025,1.499,3.334,1.51,101.406,1.305,4.365,1.564,99.303
685.46,60.024,718,829,115,7.209,1.495,3.338,1.509,100.952,1.303,4.368,1.564,99.454
686.47,29.994,701,835,112,7.455,1.496,3.353,1.511,101.362,1.3,4.367,1.565,99.234
687.47,60.024,682,844,113,7.469,1.496,3.352,1.51,101.791,1.301,4.367,1.565,99.204
688.5,30.012,687,851,115,7.4,1.499,3.362,1.512,102.739,1.301,4.367,1.566,99.252
689.51,29.994,699,848,118,7.186,1.5,3.355,1.514,102.845,1.3,4.369,1.566,99.11
690.52,60.024,702,839,116,7.233,1.499,3.362,1.517,102.727,1.299,4.368,1.566,98.995
691.53,60.024,682,822,117,7.026,1.501,3.353,1.518,103.534,1.298,4.368,1.566,98.905
692.54,59.952,688,815,118,6.907,1.504,3.344,1.514,103.172,1.299,4.37,1.566,98.938
693.56,59.952,697,818,117,6.991,1.505,3.334,1.514,102.969,1.299,4.37,1.566,99.06
694.57,59.952,721,809,116,6.974,1.505,3.322,1.513,102.653,1.301,4.37,1.565,99.098
695.58,30.012,721,810,118,6.864,1.504,3.316,1.514,102.558,1.3,4.368,1.565,98.994
696.59,60.024,765,822,118,6.966,1.502,3.319,1.513,102.345,1.299,4.369,1.565,98.846
697.6,29.994,764,819,117,7,1.504,3.316,1.512,102.342,1.299,4.369,1.565,98.879
698.61,29.994,752,817,118,6.924,1.502,3.306,1.511,101.504,1.298,4.369,1.565,98.831
699.62,60.024,728,798,119,6.706,1.502,3.307,1.507,101.191,1.297,4.371,1.565,98.758
700.63,60.024,735,789,118,6.686,1.505,3.302,1.506,101.38,1.3,4.372,1.565,98.802
701.64,30.012,709,791,120,6.592,1.503,3.31,1.504,101.393,1.3,4.372,1.565,98.917
702.65,60.024,707,801,124,6.46,1.504,3.307,1.502,101.116,1.297,4.372,1.565,98.713
703.67,59.952,733,791,123,6.431,1.503,3.304,1.503,101.309,1.299,4.372,1.565,98.716
704.67,60.024,751,780,126,6.19,1.505,3.309,1.505,101.707,1.298,4.372,1.566,98.785
705.67,60.024,761,769,127,6.055,1.506,3.312,1.506,101.895,1.296,4.371,1.565,98.58
706.69,29.994,772,756,129,5.86,1.506,3.306,1.504,102.282,1.297,4.368,1.566,98.805
707.69,60.024,787,758,130,5.831,1.506,3.299,1.5,101.283,1.297,4.368,1.566,98.71
708.7,30.012,777,756,129,5.86,1.505,3.317,1.499,101.696,1.296,4.367,1.565,98.611
709.7,60.024,768,756,134,5.642,1.504,3.322,1.501,101.923,1.296,4.368,1.566,98.623
710.73,60.024,775,764,134,5.701,1.5,3.32,1.502,101.479,1.294,4.368,1.567,98.454
711.74,59.952,788,766,134,5.716,1.502,3.32,1.502,101.548,1.295,4.372,1.566,98.591
712.74,59.952,777,776,133,5.835,1.503,3.325,1.501,101.633,1.295,4.37,1.566,98.642
713.75,59.952,767,789,135,5.844,1.503,3.325,1.502,101.828,1.295,4.37,1.565,98.802
714.76,29.994,787,793,131,6.053,1.504,3.317,1.501,101.818,1.295,4.369,1.566,98.871
715.77,60.024,793,792,133,5.955,1.503,3.32,1.503,102.213,1.295,4.369,1.566,98.791
716.78,30.012,770,797,129,6.178,1.508,3.298,1.501,102.213,1.295,4.368,1.566,98.81
717.79,60.024,748,793,130,6.1,1.51,3.306,1.503,102.656,1.293,4.367,1.566,98.866
718.79,60.024,771,782,125,6.256,1.51,3.292,1.504,102.318,1.294,4.366,1.566,98.856
719.79,29.994,755,789,121,6.521,1.512,3.286,1.507,102.676,1.293,4.368,1.566,98.822
720.8,29.994,744,793,121,6.554,1.512,3.293,1.511,102.834,1.293,4.369,1.567,98.875
721.81,60.024,735,802,120,6.683,1.514,3.291,1.515,103.346,1.292,4.369,1.566,98.94
722.82,60.024,721,789,121,6.521,1.512,3.285,1.513,103.456,1.295,4.366,1.566,99.094
723.82,60.024,711,786,118,6.661,1.51,3.287,1.513,103.993,1.295,4.366,1.566,99.199
724.84,60.024,736,792,120,6.6,1.515,3.3,1.515,104.992,1.296,4.367,1.567,98.901
725.84,60.024,718,789,122,6.467,1.512,3.292,1.515,104.9,1.295,4.368,1.567,98.867
726.86,59.952,697,789,122,6.467,1.512,3.292,1.515,104.9,1.294,4.368,1.567,98.951
727.86,59.952,691,787,118,6.669,1.514,3.279,1.511,104.12,1.296,4.371,1.567,99.006
728.87,59.952,674,792,118,6.712,1.513,3.279,1.513,104.629,1.295,4.371,1.566,98.882
729.88,59.952,686,794,120,6.617,1.515,3.283,1.512,104.788,1.296,4.373,1.567,99.036
730.9,30.012,671,792,123,6.439,1.515,3.281,1.517,105.66,1.296,4.374,1.566,99.19
731.91,30.012,670,800,120,6.667,1.516,3.289,1.517,105.617,1.298,4.372,1.567,99.15
732.93,30.012,683,802,122,6.574,1.515,3.29,1.515,105.768,1.296,4.374,1.567,99.213
733.94,60.024,672,808,118,6.847,1.517,3.28,1.512,105.87,1.297,4.375,1.567,99.183
734.96,60.024,658,810,118,6.864,1.518,3.283,1.511,106.064,1.298,4.376,1.568,99.395
735.97,60.024,662,810,117,6.923,1.519,3.281,1.513,106.41,1.299,4.375,1.568,99.412
736.99,29.994,672,808,115,7.026,1.52,3.281,1.513,106.531,1.298,4.372,1.568,99.474
738,29.994,658,807,113,7.142,1.52,3.29,1.514,106.262,1.299,4.377,1.567,99.503
739.02,60.024,642,809,115,7.035,1.52,3.296,1.515,106.509,1.3,4.377,1.568,99.632
740.04,60.024,643,811,116,6.991,1.52,3.303,1.515,106.466,1.3,4.376,1.567,99.655
741.05,60.024,672,821,113,7.265,1.516,3.302,1.512,105.835,1.301,4.373,1.567,99.46
742.06,60.024,670,823,110,7.482,1.52,3.287,1.516,106.383,1.3,4.372,1.566,99.337
743.07,60.024,658,828,111,7.459,1.518,3.283,1.515,106.465,1.3,4.372,1.566,99.325
744.09,59.952,652,814,110,7.4,1.519,3.279,1.515,106.28,1.3,4.372,1.567,99.496
745.1,60.024,649,811,111,7.306,1.518,3.286,1.516,106.341,1.3,4.374,1.567,99.495
746.13,29.994,680,813,110,7.391,1.519,3.286,1.516,106.373,1.3,4.374,1.568,99.402
747.13,60.024,694,804,110,7.309,1.521,3.283,1.516,106.281,1.3,4.374,1.568,99.374
748.13,60.024,692,795,110,7.227,1.519,3.273,1.516,106.074,1.3,4.375,1.567,99.56
749.14,60.024,674,792,109,7.266,1.519,3.286,1.518,106.69,1.298,4.375,1.568,99.548
750.14,60.024,642,793,114,6.956,1.521,3.287,1.517,106.807,1.299,4.375,1.567,99.569
751.14,59.952,627,793,118,6.72,1.52,3.285,1.516,106.863,1.301,4.375,1.567,99.704
752.15,60.024,653,791,120,6.592,1.524,3.289,1.519,107.59,1.301,4.373,1.568,99.781
753.17,60.024,673,780,123,6.341,1.524,3.299,1.52,107.751,1.3,4.376,1.567,99.936
754.17,60.024,678,784,121,6.479,1.523,3.293,1.521,107.675,1.302,4.375,1.567,99.901
755.17,60.024,712,776,121,6.413,1.525,3.29,1.521,107.854,1.302,4.373,1.566,99.711
756.19,60.024,687,772,125,6.176,1.523,3.288,1.52,107.876,1.302,4.373,1.567,99.841
757.2,60.024,701,763,122,6.254,1.523,3.281,1.519,107.514,1.303,4.371,1.567,99.89
758.22,30.012,705,764,124,6.161,1.523,3.284,1.517,107.354,1.303,4.371,1.567,99.828
759.22,60.024,701,768,126,6.095,1.524,3.302,1.516,108.021,1.301,4.369,1.568,99.905
760.22,60.024,706,777,124,6.266,1.524,3.308,1.517,108.345,1.303,4.368,1.568,100.012
761.23,30.012,713,778,124,6.274,1.525,3.314,1.52,108.316,1.302,4.368,1.568,100.021
762.24,60.024,713,787,125,6.296,1.523,3.314,1.519,108.271,1.303,4.367,1.568,100.106
763.26,60.024,708,789,125,6.312,1.524,3.317,1.518,108.261,1.303,4.366,1.568,99.96
764.27,59.952,718,790,126,6.27,1.524,3.317,1.518,108.188,1.304,4.364,1.568,99.901
765.28,59.952,730,781,124,6.298,1.528,3.314,1.519,108.369,1.305,4.362,1.569,100.064
766.29,59.952,755,789,120,6.575,1.53,3.316,1.516,108.155,1.305,4.362,1.568,99.924
767.3,60.024,762,776,116,6.69,1.53,3.31,1.515,108.35,1.305,4.363,1.568,99.907
768.3,59.952,776,783,112,6.991,1.531,3.301,1.515,108.041,1.304,4.362,1.567,99.856
769.32,60.024,764,765,109,7.018,1.532,3.298,1.514,108.092,1.304,4.363,1.567,99.982
770.32,60.024,737,755,110,6.864,1.531,3.298,1.515,108.147,1.302,4.364,1.567,99.877
771.33,60.024,746,761,111,6.856,1.53,3.303,1.518,108.403,1.301,4.362,1.567,99.825
772.34,60.024,765,768,109,7.046,1.532,3.312,1.514,108.577,1.303,4.364,1.567,99.942
773.36,60.024,762,767,109,7.037,1.53,3.312,1.513,108.472,1.3,4.364,1.566,99.838
774.37,59.952,746,763,108,7.065,1.531,3.318,1.516,108.736,1.3,4.364,1.565,99.677
775.38,60.024,747,773,108,7.157,1.534,3.318,1.518,108.832,1.3,4.364,1.564,99.773
776.39,59.952,751,775,105,7.381,1.533,3.318,1.519,108.788,1.299,4.366,1.564,99.62
777.39,59.952,745,769,110,6.991,1.535,3.324,1.521,109.136,1.297,4.365,1.565,99.539
778.4,60.024,717,774,110,7.036,1.535,3.324,1.522,109.344,1.298,4.366,1.564,99.893
